127.0.0.1 - - [13/Apr/2023:22:06:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:06:12 +0530] "GET /ServletWithDB/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:06:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:06:38 +0530] "GET /ServletWithDB/StudentForm.html HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:07:55 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:07:55 +0530] "GET /ServletWithDB/Success.html HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:10:28 +0530] "GET /ServletWithDB/StudentForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:10:39 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:11:09 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:11:12 +0530] "GET /ServletWithDB/StudentForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:11:26 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 500 1374
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:11:33 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:11:37 +0530] "POST /ServletWithDB/RetriveController HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [13/Apr/2023:22:12:59 +0530] "POST /ServletWithDB/InsertController HTTP/1.1" 200 174
